Replicate,Position_ID,Type,Frame,Cell_ID,Area_um_2,,,,Perimeter,Circularity,,,,Aspect_ratio,Round,Solidity
Rep1,Pos016,Uncompressed,30,12,468.78,255,255,255,83.247,0.85,119538.9,100,92565,1.608,0.622,0.93
Rep1,Pos016,Uncompressed,30,13,357.719,255,255,255,69.724,0.925,91218.389,100,70635,1.165,0.859,0.937
Rep1,Pos016,Uncompressed,30,14,364.176,255,255,255,69.448,0.949,92864.931,100,71910,1.059,0.944,0.949
Rep1,Pos016,Uncompressed,30,15,679.279,255,255,255,122.274,0.571,173216.147,100,134130,3.172,0.315,0.876
Rep1,Pos016,Uncompressed,30,16,459.74,255,255,255,83.361,0.831,117233.742,100,90780,1.647,0.607,0.937
Rep1,Pos016,Uncompressed,30,17,770.969,255,255,255,139.838,0.495,196597.034,100,152235,2.74,0.365,0.815
Rep1,Pos016,Uncompressed,30,18,619.874,255,255,255,94.611,0.87,158067.967,100,122400,1.347,0.743,0.945
Rep1,Pos016,Uncompressed,30,19,561.761,255,255,255,100.098,0.705,143249.095,100,110925,1.936,0.517,0.873
Rep1,Pos016,Uncompressed,35,1,637.954,255,255,255,97.549,0.842,162678.283,100,125970,1.136,0.88,0.923
Rep1,Pos016,Uncompressed,35,2,512.688,255,255,255,85.244,0.887,130735.381,100,101235,1.129,0.886,0.929
Rep1,Pos016,Uncompressed,35,3,577.258,255,255,255,93.004,0.839,147200.794,100,113985,1.209,0.827,0.916
Rep1,Pos016,Uncompressed,35,4,585.006,255,255,255,95.942,0.799,149176.644,100,115515,1.446,0.691,0.901
Rep1,Pos016,Uncompressed,35,5,603.086,255,255,255,91.397,0.907,153786.96,100,119085,1.261,0.793,0.948
Rep1,Pos016,Uncompressed,35,6,497.191,255,255,255,82.305,0.922,126783.682,100,98175,1.252,0.798,0.941
Rep1,Pos016,Uncompressed,35,7,352.554,255,255,255,69.448,0.919,89901.156,100,69615,1.055,0.948,0.941
Rep1,Pos016,Uncompressed,35,8,493.317,255,255,255,86.185,0.835,125795.757,100,97410,1.466,0.682,0.925
Rep1,Pos016,Uncompressed,35,9,563.053,255,255,255,89.124,0.891,143578.403,100,111180,1.109,0.902,0.936
Rep1,Pos016,Uncompressed,35,10,437.786,255,255,255,79.367,0.873,111635.502,100,86445,1.505,0.664,0.933
Rep1,Pos016,Uncompressed,35,11,525.602,255,255,255,86.851,0.876,134028.464,100,103785,1.44,0.694,0.938
Rep1,Pos016,Uncompressed,35,12,386.13,255,255,255,74.546,0.873,98463.171,100,76245,1.399,0.715,0.945
Rep1,Pos016,Uncompressed,35,13,892.361,255,255,255,123.263,0.738,227552.011,100,176205,1.636,0.611,0.877
Rep1,Pos016,Uncompressed,35,14,517.853,255,255,255,96.056,0.705,132052.614,100,102255,1.507,0.663,0.872
Rep1,Pos016,Uncompressed,35,15,610.835,255,255,255,91.672,0.913,155762.809,100,120615,1.121,0.892,0.945
Rep1,Pos016,Uncompressed,35,16,659.908,255,255,255,106.802,0.727,168276.523,100,130305,1.635,0.612,0.895
Rep1,Pos016,Uncompressed,35,17,680.57,255,255,255,104.919,0.777,173545.456,100,134385,1.636,0.611,0.897
Rep1,Pos016,Uncompressed,40,1,608.252,255,255,255,104.368,0.702,155104.193,100,120105,2.112,0.473,0.908
Rep1,Pos016,Uncompressed,40,2,555.304,255,255,255,90.731,0.848,141602.554,100,109650,1.339,0.747,0.927
Rep1,Pos016,Uncompressed,40,3,582.424,255,255,255,92.338,0.858,148518.027,100,115005,1.165,0.858,0.919
Rep1,Pos016,Uncompressed,40,4,637.954,255,255,255,95.276,0.883,162678.283,100,125970,1.136,0.881,0.934
Rep1,Pos016,Uncompressed,40,5,473.946,255,255,255,83.523,0.854,120856.133,100,93585,1.682,0.595,0.915
Rep1,Pos016,Uncompressed,40,6,630.206,255,255,255,94.611,0.885,160702.433,100,124440,1.321,0.757,0.939
Rep1,Pos016,Uncompressed,40,7,523.019,255,255,255,86.737,0.874,133369.847,100,103275,1.456,0.687,0.939
Rep1,Pos016,Uncompressed,40,8,485.568,255,255,255,82.305,0.901,123819.908,100,95880,1.172,0.853,0.932
Rep1,Pos016,Uncompressed,40,9,583.715,255,255,255,92.338,0.86,148847.336,100,115260,1.427,0.701,0.927
Rep1,Pos016,Uncompressed,40,10,601.795,255,255,255,91.948,0.894,153457.651,100,118830,1.117,0.895,0.94
Rep1,Pos016,Uncompressed,40,11,401.627,255,255,255,74.546,0.908,102414.87,100,79305,1.349,0.741,0.933
Rep1,Pos016,Uncompressed,40,12,569.51,255,255,255,91.397,0.857,145224.945,100,112455,1.416,0.706,0.936
Rep1,Pos016,Uncompressed,40,13,529.476,255,255,255,94.611,0.743,135016.389,100,104550,1.957,0.511,0.896
Rep1,Pos016,Uncompressed,40,14,634.08,255,255,255,101.429,0.775,161690.358,100,125205,1.116,0.896,0.908
Rep1,Pos016,Uncompressed,40,15,614.709,255,255,255,93.004,0.893,156750.734,100,121380,1.356,0.737,0.948
Rep1,Pos016,Uncompressed,40,16,468.78,255,255,255,94.335,0.662,119538.9,100,92565,2.078,0.481,0.847
Rep1,Pos016,Uncompressed,40,17,596.629,255,255,255,96.494,0.805,152140.418,100,117810,1.125,0.889,0.895
Rep1,Pos016,Uncompressed,45,1,462.323,255,255,255,82.03,0.863,117892.359,100,91290,1.205,0.83,0.92
Rep1,Pos016,Uncompressed,45,2,707.69,255,255,255,117.11,0.648,180460.929,100,139740,1.317,0.759,0.853
