Replicate,Position_ID,Type,Frame,Cell_ID,Area_um_2,,,,Perimeter,Circularity,,,,Aspect_ratio,Round,Solidity
Rep1,Pos024,Compressed,1,11,1361.141,255,255,255,161.901,0.653,347090.911,100,268770,2.303,0.434,0.885
Rep1,Pos024,Compressed,1,12,2267.707,255,255,255,231.349,0.532,578265.313,100,447780,2.276,0.439,0.791
Rep1,Pos024,Compressed,1,13,1488.99,255,255,255,162.338,0.71,379692.429,100,294015,1.101,0.909,0.873
Rep1,Pos024,Compressed,1,14,1154.516,255,255,255,137.566,0.767,294401.589,100,227970,1.118,0.895,0.912
Rep1,Pos024,Compressed,1,15,1073.158,255,255,255,139.953,0.689,273655.168,100,211905,1.908,0.524,0.887
Rep1,Pos024,Compressed,1,16,3073.544,255,255,255,440.912,0.199,783753.67,100,606900,2.985,0.335,0.708
Rep1,Pos024,Compressed,1,17,1421.837,255,255,255,177.03,0.57,362568.4,100,280755,2.874,0.348,0.851
Rep1,Pos024,Compressed,1,18,1128.688,255,255,255,152.144,0.613,287815.423,100,222870,2.525,0.396,0.864
Rep1,Pos024,Compressed,5,1,1797.636,255,255,255,193.377,0.604,458397.105,100,354960,2.448,0.408,0.872
Rep1,Pos024,Compressed,5,2,1668.495,255,255,255,175.975,0.677,425466.278,100,329460,1.629,0.614,0.891
Rep1,Pos024,Compressed,5,3,1509.652,255,255,255,179.465,0.589,384961.362,100,298095,1.953,0.512,0.869
Rep1,Pos024,Compressed,5,4,703.816,255,255,255,115.066,0.668,179473.004,100,138975,2.517,0.397,0.94
Rep1,Pos024,Compressed,5,5,919.48,255,255,255,122.436,0.771,234467.485,100,181560,1.192,0.839,0.9
Rep1,Pos024,Compressed,5,6,1162.264,255,255,255,215.554,0.314,296377.438,100,229500,3.592,0.278,0.561
Rep1,Pos024,Compressed,5,7,1250.08,255,255,255,145.278,0.744,318770.4,100,246840,1.886,0.53,0.951
Rep1,Pos024,Compressed,5,8,1467.036,255,255,255,196.591,0.477,374094.189,100,289680,2.332,0.429,0.777
Rep1,Pos024,Compressed,5,9,1478.659,255,255,255,154.417,0.779,377057.963,100,291975,1.505,0.664,0.931
Rep1,Pos024,Compressed,5,10,1133.854,255,255,255,167.549,0.508,289132.656,100,223890,3.032,0.33,0.794
Rep1,Pos024,Compressed,5,11,1463.162,255,255,255,172.209,0.62,373106.264,100,288915,2.18,0.459,0.864
Rep1,Pos024,Compressed,5,12,1565.183,255,255,255,160.179,0.767,399121.617,100,309060,1.611,0.621,0.907
Rep1,Pos024,Compressed,5,13,746.432,255,255,255,105.585,0.841,190340.177,100,147390,1.286,0.778,0.935
Rep1,Pos024,Compressed,5,14,1680.118,255,255,255,189.222,0.59,428430.053,100,331755,2.694,0.371,0.873
Rep1,Pos024,Compressed,5,15,1168.721,255,255,255,136.9,0.784,298023.98,100,230775,1.468,0.681,0.897
Rep1,Pos024,Compressed,5,16,1547.103,255,255,255,175.423,0.632,394511.301,100,305490,2.241,0.446,0.893
Rep1,Pos024,Compressed,5,17,1368.889,255,255,255,178.913,0.537,349066.761,100,270300,2.318,0.431,0.793
Rep1,Pos024,Compressed,5,18,1743.397,255,255,255,166.722,0.788,444566.157,100,344250,1.207,0.828,0.927
Rep1,Pos024,Compressed,5,19,1779.556,255,255,255,198.589,0.567,453786.789,100,351390,2.207,0.453,0.851
Rep1,Pos024,Compressed,5,20,1925.485,255,255,255,247.601,0.395,490998.623,100,380205,4.434,0.226,0.751
Rep1,Pos024,Compressed,5,21,2740.361,255,255,255,246.365,0.567,698792.138,100,541110,2.262,0.442,0.835
Rep1,Pos024,Compressed,5,22,1284.948,255,255,255,164.221,0.599,327661.723,100,253725,1.245,0.803,0.893
Rep1,Pos024,Compressed,5,23,2329.695,255,255,255,254.676,0.451,594072.11,100,460020,3.233,0.309,0.742
Rep1,Pos024,Compressed,5,24,1232,255,255,255,149.367,0.694,314160.085,100,243270,2.196,0.455,0.897
Rep1,Pos024,Compressed,5,25,1591.011,255,255,255,175.585,0.648,405707.782,100,314160,1.86,0.538,0.881
Rep1,Pos024,Compressed,10,1,1530.315,255,255,255,211.95,0.428,390230.294,100,302175,3.001,0.333,0.702
Rep1,Pos024,Compressed,10,2,1950.021,255,255,255,203.686,0.591,497255.48,100,385050,2.725,0.367,0.844
Rep1,Pos024,Compressed,10,3,1365.015,255,255,255,154.692,0.717,348078.836,100,269535,1.837,0.544,0.908
Rep1,Pos024,Compressed,10,4,1077.032,255,255,255,144.545,0.648,274643.093,100,212670,2.351,0.425,0.909
Rep1,Pos024,Compressed,10,5,1662.038,255,255,255,198.037,0.533,423819.737,100,328185,2.26,0.442,0.786
Rep1,Pos024,Compressed,10,6,1743.397,255,255,255,215.991,0.47,444566.157,100,344250,3.402,0.294,0.776
Rep1,Pos024,Compressed,10,7,1791.179,255,255,255,168.491,0.793,456750.563,100,353685,1.497,0.668,0.914
Rep1,Pos024,Compressed,10,8,1456.705,255,255,255,180.91,0.559,371459.723,100,287640,2.386,0.419,0.869
Rep1,Pos024,Compressed,10,9,2033.963,255,255,255,194.984,0.672,518660.517,100,401625,2.124,0.471,0.897
Rep1,Pos024,Compressed,10,10,1483.824,255,255,255,154.692,0.779,378375.196,100,292995,1.849,0.541,0.947
Rep1,Pos024,Compressed,10,11,1331.439,255,255,255,152.581,0.719,339516.821,100,262905,2.144,0.466,0.923
Rep1,Pos024,Compressed,10,12,1627.17,255,255,255,170.212,0.706,414928.414,100,321300,1.473,0.679,0.896
Rep1,Pos024,Compressed,10,13,1959.061,255,255,255,166.608,0.887,499560.638,100,386835,1.176,0.85,0.957
Rep1,Pos024,Compressed,10,14,1262.994,255,255,255,154.302,0.667,322063.483,100,249390,1.627,0.615,0.861
Rep1,Pos024,Compressed,10,15,3045.133,255,255,255,270.31,0.524,776508.888,100,601290,2.151,0.465,0.763
Rep1,Pos024,Compressed,10,16,1527.732,255,255,255,166.056,0.696,389571.677,100,301665,1.478,0.677,0.896
Rep1,Pos024,Compressed,10,17,1915.154,255,255,255,199.14,0.607,488364.157,100,378165,2.649,0.377,0.904
Rep1,Pos024,Compressed,10,18,1691.74,255,255,255,156.575,0.867,431393.827,100,334050,1.05,0.953,0.941
Rep1,Pos024,Compressed,10,19,1361.141,255,255,255,142.111,0.847,347090.911,100,268770,1.25,0.8,0.943
Rep1,Pos024,Compressed,10,20,2510.491,255,255,255,253.345,0.492,640175.267,100,495720,2.972,0.337,0.82
Rep1,Pos024,Compressed,15,1,1303.028,255,255,255,190.829,0.45,332272.039,100,257295,3.466,0.289,0.787
Rep1,Pos024,Compressed,15,2,1346.935,255,255,255,205.245,0.402,343468.52,100,265965,4.054,0.247,0.745
Rep1,Pos024,Compressed,15,3,1040.872,255,255,255,198.151,0.333,265422.461,100,205530,5.683,0.176,0.699
Rep1,Pos024,Compressed,15,4,1474.784,255,255,255,152.809,0.794,376070.038,100,291210,1.312,0.762,0.928
Rep1,Pos024,Compressed,15,5,1108.025,255,255,255,196.04,0.362,282546.491,100,218790,3.988,0.251,0.753
Rep1,Pos024,Compressed,15,6,1588.428,255,255,255,177.696,0.632,405049.166,100,313650,1.26,0.794,0.854
Rep1,Pos024,Compressed,15,7,1353.392,255,255,255,164.725,0.627,345115.062,100,267240,2.121,0.471,0.836
Rep1,Pos024,Compressed,15,8,1478.659,255,255,255,189.222,0.519,377057.963,100,291975,1.544,0.647,0.834
Rep1,Pos024,Compressed,15,9,1791.179,255,255,255,243.816,0.379,456750.563,100,353685,4.686,0.213,0.714
Rep1,Pos024,Compressed,15,10,1228.126,255,255,255,143.718,0.747,313172.16,100,242505,1.336,0.749,0.907
Rep1,Pos024,Compressed,15,11,1167.43,255,255,255,145.991,0.688,297694.671,100,230520,1.346,0.743,0.878
Rep1,Pos024,Compressed,15,12,1226.835,255,255,255,173.702,0.511,312842.852,100,242250,2.675,0.374,0.779
Rep1,Pos024,Compressed,15,13,1538.063,255,255,255,159.904,0.756,392206.143,100,303705,1.219,0.82,0.902
Rep1,Pos024,Compressed,20,1,1122.231,255,255,255,217.988,0.297,286168.882,100,221595,3.081,0.325,0.603
Rep1,Pos024,Compressed,20,2,2683.54,255,255,255,346.187,0.281,684302.574,100,529890,1.293,0.774,0.844
Rep1,Pos024,Compressed,20,3,1336.604,255,255,255,186.007,0.485,340834.054,100,263925,2.989,0.335,0.767
Rep1,Pos024,Compressed,20,4,1261.703,255,255,255,205.635,0.375,321734.175,100,249135,3.611,0.277,0.671
Rep1,Pos024,Compressed,20,5,1508.361,255,255,255,217.941,0.399,384632.053,100,297840,2.598,0.385,0.759
Rep1,Pos024,Compressed,20,6,1210.046,255,255,255,137.566,0.804,308561.844,100,238935,1.354,0.738,0.907
Rep1,Pos024,Compressed,20,7,523.019,255,255,255,112.289,0.521,133369.847,100,103275,2.257,0.443,0.758
Rep1,Pos024,Compressed,20,8,1454.122,255,255,255,176.365,0.587,370801.106,100,287130,2.378,0.421,0.85
Rep1,Pos024,Compressed,20,9,1062.826,255,255,255,140.114,0.68,271020.702,100,209865,1.863,0.537,0.882
Rep1,Pos024,Compressed,20,10,1331.439,255,255,255,162.728,0.632,339516.821,100,262905,1.809,0.553,0.835
Rep1,Pos024,Compressed,20,11,1126.105,255,255,255,156.024,0.581,287156.807,100,222360,2.353,0.425,0.832
Rep1,Pos024,Compressed,25,1,1211.338,255,255,255,222.971,0.306,308891.152,100,239190,3.7,0.27,0.58
Rep1,Pos024,Compressed,25,2,555.304,255,255,255,91.672,0.83,141602.554,100,109650,1.377,0.726,0.91
Rep1,Pos024,Compressed,25,3,1020.21,255,255,255,139.563,0.658,260153.529,100,201450,1.986,0.503,0.852
Rep1,Pos024,Compressed,25,4,1406.34,255,255,255,181.462,0.537,358616.7,100,277695,2.187,0.457,0.82
Rep1,Pos024,Compressed,25,5,1286.239,255,255,255,193.33,0.432,327991.032,100,253980,3.627,0.276,0.783
Rep1,Pos024,Compressed,25,6,1144.185,255,255,255,179.465,0.446,291767.123,100,225930,3.961,0.252,0.796
Rep1,Pos024,Compressed,25,7,719.313,255,255,255,111.738,0.724,183424.703,100,142035,1.131,0.884,0.87
Rep1,Pos024,Compressed,25,8,1067.992,255,255,255,135.293,0.733,272337.935,100,210885,1.628,0.614,0.904
Rep1,Pos024,Compressed,25,9,1689.158,255,255,255,205.293,0.504,430735.21,100,333540,1.953,0.512,0.793
Rep1,Pos024,Compressed,25,10,1516.109,255,255,255,200.586,0.474,386607.903,100,299370,3.399,0.294,0.834
Rep1,Pos024,Compressed,25,11,975.011,255,255,255,142.111,0.607,248627.74,100,192525,1.711,0.584,0.83
Rep1,Pos024,Compressed,30,1,1044.747,255,255,255,130.357,0.773,266410.386,100,206295,1.183,0.845,0.885
Rep1,Pos024,Compressed,30,2,778.717,255,255,255,109.189,0.821,198572.884,100,153765,1.257,0.796,0.91
Rep1,Pos024,Compressed,30,3,928.52,255,255,255,123.377,0.767,236772.642,100,183345,1.375,0.727,0.904
Rep1,Pos024,Compressed,30,4,910.44,255,255,255,127.923,0.699,232162.327,100,179775,1.528,0.655,0.879
Rep1,Pos024,Compressed,30,5,1579.388,255,255,255,200.586,0.493,402744.008,100,311865,2.789,0.359,0.813
Rep1,Pos024,Compressed,30,6,1643.959,255,255,255,232.728,0.381,419209.421,100,324615,4.061,0.246,0.749
Rep1,Pos024,Compressed,30,7,1040.872,255,255,255,157.517,0.527,265422.461,100,205530,2.837,0.352,0.816
Rep1,Pos024,Compressed,35,1,829.082,255,255,255,114.286,0.798,211415.906,100,163710,1.325,0.755,0.898
Rep1,Pos024,Compressed,35,2,758.055,255,255,255,107.192,0.829,193303.951,100,149685,1.617,0.618,0.932
Rep1,Pos024,Compressed,35,3,1065.409,255,255,255,154.302,0.562,271679.318,100,210375,2.15,0.465,0.841
Rep1,Pos024,Compressed,35,4,1144.185,255,255,255,168.995,0.503,291767.123,100,225930,3.058,0.327,0.823
Rep1,Pos024,Compressed,35,5,945.308,255,255,255,123.653,0.777,241053.65,100,186660,1.581,0.632,0.923
Rep1,Pos024,Compressed,35,6,1579.388,255,255,255,189.336,0.554,402744.008,100,311865,2.562,0.39,0.856
Rep1,Pos024,Compressed,35,7,973.719,255,255,255,129.967,0.724,248298.432,100,192270,1.132,0.883,0.87
Rep1,Pos024,Compressed,35,8,963.388,255,255,255,162.566,0.458,245663.966,100,190230,2.632,0.38,0.728
Rep1,Pos024,Compressed,35,9,1784.722,255,255,255,264.661,0.32,455104.022,100,352410,4.815,0.208,0.643
Rep1,Pos024,Compressed,40,1,1098.986,255,255,255,130.196,0.815,280241.333,100,217005,1.552,0.644,0.927
Rep1,Pos024,Compressed,40,2,1424.42,255,255,255,184.838,0.524,363227.016,100,281265,3.197,0.313,0.876
Rep1,Pos024,Compressed,40,3,1150.642,255,255,255,165.276,0.529,293413.664,100,227205,3.073,0.325,0.826
Rep1,Pos024,Compressed,40,4,703.816,255,255,255,102.646,0.839,179473.004,100,138975,1.037,0.964,0.918
Rep1,Pos024,Compressed,40,5,1055.078,255,255,255,138.897,0.687,269044.852,100,208335,1.627,0.614,0.86
Rep1,Pos024,Compressed,40,6,888.487,255,255,255,131.689,0.644,226564.086,100,175440,1.605,0.623,0.858
Rep1,Pos024,Compressed,40,7,882.03,255,255,255,120.6,0.762,224917.545,100,174165,1.74,0.575,0.905
Rep1,Pos024,Compressed,45,1,1155.807,255,255,255,132.354,0.829,294730.897,100,228225,1.278,0.783,0.933
Rep1,Pos024,Compressed,45,2,1110.608,255,255,255,177.306,0.444,283205.108,100,219300,2.409,0.415,0.741
Rep1,Pos024,Compressed,45,3,1499.321,255,255,255,181.072,0.575,382326.895,100,296055,1.765,0.567,0.83
Rep1,Pos024,Compressed,45,4,812.294,255,255,255,128.084,0.622,207134.899,100,160395,1.753,0.57,0.835
Rep1,Pos024,Compressed,45,5,1379.22,255,255,255,206.738,0.406,351701.227,100,272340,3.291,0.304,0.764
Rep1,Pos024,Compressed,45,6,707.69,255,255,255,103.312,0.833,180460.929,100,139740,1.293,0.773,0.913
Rep1,Pos024,Compressed,45,7,1031.833,255,255,255,127.533,0.797,263117.304,100,203745,1.464,0.683,0.915
Rep1,Pos024,Compressed,45,8,898.818,255,255,255,135.683,0.614,229198.552,100,177480,1.343,0.744,0.832
Rep1,Pos024,Compressed,45,9,907.858,255,255,255,119.497,0.799,231503.71,100,179265,1.661,0.602,0.927
Rep1,Pos024,Compressed,45,10,1782.139,255,255,255,253.069,0.35,454445.405,100,351900,4.481,0.223,0.703
Rep1,Pos025,Compressed,1,1,1117.065,255,255,255,186.673,0.403,284851.649,100,220575,2.73,0.366,0.678
Rep1,Pos025,Compressed,1,2,785.174,255,255,255,141.56,0.492,200219.425,100,155040,3.397,0.294,0.791
Rep1,Pos025,Compressed,1,3,715.438,255,255,255,100.764,0.885,182436.779,100,141270,1.167,0.857,0.942
Rep1,Pos025,Compressed,1,4,764.512,255,255,255,141.997,0.476,194950.493,100,150960,3.398,0.294,0.779
Rep1,Pos025,Compressed,1,5,849.744,255,255,255,136.624,0.572,216684.838,100,167790,2.051,0.487,0.834
Rep1,Pos025,Compressed,1,6,1560.017,255,255,255,180.91,0.599,397804.384,100,308040,2.687,0.372,0.896
Rep1,Pos025,Compressed,1,7,627.623,255,255,255,117.339,0.573,160043.817,100,123930,1.503,0.665,0.798
Rep1,Pos025,Compressed,1,8,680.57,255,255,255,116.559,0.629,173545.456,100,134385,1.667,0.6,0.841
Rep1,Pos025,Compressed,1,9,627.623,255,255,255,110.13,0.65,160043.817,100,123930,1.743,0.574,0.879
Rep1,Pos025,Compressed,1,10,799.38,255,255,255,165.552,0.367,203841.816,100,157845,2.717,0.368,0.669
Rep1,Pos025,Compressed,1,11,519.145,255,255,255,97.045,0.693,132381.922,100,102510,1.851,0.54,0.884
Rep1,Pos025,Compressed,1,12,823.916,255,255,255,120.99,0.707,210098.673,100,162690,1.771,0.565,0.883
Rep1,Pos025,Compressed,1,13,650.868,255,255,255,118.832,0.579,165971.365,100,128520,2.912,0.343,0.86
Rep1,Pos025,Compressed,1,14,840.705,255,255,255,119.773,0.736,214379.68,100,166005,2.013,0.497,0.931
Rep1,Pos025,Compressed,1,15,1587.137,255,255,255,170.212,0.688,404719.857,100,313395,1.693,0.591,0.875
Rep1,Pos025,Compressed,1,16,1164.847,255,255,255,155.748,0.603,297036.055,100,230010,1.25,0.8,0.883
Rep1,Pos025,Compressed,1,17,650.868,255,255,255,117.5,0.592,165971.365,100,128520,2.155,0.464,0.801
Rep1,Pos025,Compressed,1,18,805.837,255,255,255,127.419,0.624,205488.357,100,159120,1.952,0.512,0.867
Rep1,Pos025,Compressed,1,19,572.092,255,255,255,96.884,0.766,145883.561,100,112965,1.566,0.638,0.89
Rep1,Pos025,Compressed,1,20,1052.495,255,255,255,160.959,0.511,268386.236,100,207825,2.633,0.38,0.786
Rep1,Pos025,Compressed,1,21,2185.057,255,255,255,198.589,0.696,557189.584,100,431460,1.533,0.652,0.923
Rep1,Pos025,Compressed,1,22,1282.365,255,255,255,159.124,0.636,327003.107,100,253215,2.316,0.432,0.885
Rep1,Pos025,Compressed,5,1,808.42,255,255,255,114.952,0.769,206146.974,100,159630,1.931,0.518,0.934
Rep1,Pos025,Compressed,5,2,962.097,255,255,255,121.104,0.824,245334.657,100,189975,1.435,0.697,0.945
Rep1,Pos025,Compressed,5,3,790.34,255,255,255,106.526,0.875,201536.658,100,156060,1.39,0.72,0.939
Rep1,Pos025,Compressed,5,4,1057.661,255,255,255,122.322,0.888,269703.469,100,208845,1.32,0.758,0.955
Rep1,Pos025,Compressed,5,5,1277.2,255,255,255,194.87,0.423,325685.874,100,252195,4.085,0.245,0.747
Rep1,Pos025,Compressed,5,6,1334.021,255,255,255,159.399,0.66,340175.438,100,263415,2.161,0.463,0.879
Rep1,Pos025,Compressed,5,7,1483.824,255,255,255,231.282,0.349,378375.196,100,292995,4.51,0.222,0.663
Rep1,Pos025,Compressed,5,8,750.306,255,255,255,118.052,0.677,191328.102,100,148155,1.556,0.643,0.855
Rep1,Pos025,Compressed,5,9,770.969,255,255,255,120.325,0.669,196597.034,100,152235,2.401,0.417,0.877
Rep1,Pos025,Compressed,5,10,1667.204,255,255,255,191.494,0.571,425136.97,100,329205,2.61,0.383,0.836
Rep1,Pos025,Compressed,5,11,728.352,255,255,255,104.139,0.844,185729.861,100,143820,1.533,0.652,0.931
Rep1,Pos025,Compressed,5,12,782.591,255,255,255,134.903,0.54,199560.808,100,154530,2.787,0.359,0.831
Rep1,Pos025,Compressed,5,13,508.814,255,255,255,85.52,0.874,129747.456,100,100470,1.479,0.676,0.937
Rep1,Pos025,Compressed,5,14,946.6,255,255,255,125.536,0.755,241382.958,100,186915,1.612,0.62,0.898
Rep1,Pos025,Compressed,5,15,991.799,255,255,255,141.445,0.623,252908.747,100,195840,2.196,0.455,0.897
Rep1,Pos025,Compressed,5,16,1394.717,255,255,255,189.107,0.49,355652.926,100,275400,2.448,0.408,0.786
Rep1,Pos025,Compressed,5,17,641.828,255,255,255,99.432,0.816,163666.208,100,126735,1.28,0.781,0.914
Rep1,Pos025,Compressed,5,18,1743.397,255,255,255,202.193,0.536,444566.157,100,344250,2.681,0.373,0.809
Rep1,Pos025,Compressed,5,19,1082.197,255,255,255,186.007,0.393,275960.326,100,213690,2.713,0.369,0.723
Rep1,Pos025,Compressed,5,20,885.904,255,255,255,125.26,0.71,225905.47,100,174930,2.01,0.497,0.905
Rep1,Pos025,Compressed,5,21,2217.342,255,255,255,207.014,0.65,565422.291,100,437835,1.804,0.554,0.878
Rep1,Pos025,Compressed,5,22,1368.889,255,255,255,153.085,0.734,349066.761,100,270300,1.763,0.567,0.934
Rep1,Pos025,Compressed,10,1,1352.101,255,255,255,201.689,0.418,344785.753,100,266985,3.703,0.27,0.721
Rep1,Pos025,Compressed,10,2,1086.072,255,255,255,122.322,0.912,276948.251,100,214455,1.274,0.785,0.957
Rep1,Pos025,Compressed,10,3,981.468,255,255,255,142.938,0.604,250274.281,100,193800,2.488,0.402,0.892
Rep1,Pos025,Compressed,10,4,1216.503,255,255,255,181.025,0.466,310208.385,100,240210,3.486,0.287,0.784
Rep1,Pos025,Compressed,10,5,749.015,255,255,255,116.283,0.696,190998.794,100,147900,1.901,0.526,0.888
Rep1,Pos025,Compressed,10,6,781.3,255,255,255,106.802,0.861,199231.5,100,154275,1.359,0.736,0.933
Rep1,Pos025,Compressed,10,7,1696.906,255,255,255,253.022,0.333,432711.06,100,335070,3.685,0.271,0.612
Rep1,Pos025,Compressed,10,8,1606.508,255,255,255,208.345,0.465,409659.481,100,317220,2.848,0.351,0.737
Rep1,Pos025,Compressed,10,9,831.665,255,255,255,108.523,0.887,212074.523,100,164220,1.185,0.844,0.946
Rep1,Pos025,Compressed,10,10,533.35,255,255,255,87.127,0.883,136004.313,100,105315,1.151,0.869,0.931
Rep1,Pos025,Compressed,10,11,860.076,255,255,255,112.128,0.86,219319.304,100,169830,1.082,0.924,0.933
Rep1,Pos025,Compressed,10,12,975.011,255,255,255,151.364,0.535,248627.74,100,192525,2.232,0.448,0.8
Rep1,Pos025,Compressed,10,13,893.652,255,255,255,149.205,0.504,227881.319,100,176460,2.072,0.483,0.792
Rep1,Pos025,Compressed,10,14,667.656,255,255,255,107.192,0.73,170252.373,100,131835,1.579,0.633,0.878
Rep1,Pos025,Compressed,10,15,1860.915,255,255,255,187.5,0.665,474533.21,100,367455,2.081,0.481,0.904
Rep1,Pos025,Compressed,10,16,1066.7,255,255,255,132.24,0.767,272008.627,100,210630,1.978,0.506,0.921
Rep1,Pos025,Compressed,10,17,1206.172,255,255,255,144.27,0.728,307573.919,100,238170,1.296,0.772,0.909
Rep1,Pos025,Compressed,10,18,1348.227,255,255,255,158.848,0.671,343797.828,100,266220,1.886,0.53,0.895
Rep1,Pos025,Compressed,10,19,960.805,255,255,255,130.081,0.714,245005.349,100,189720,1.461,0.684,0.885
Rep1,Pos025,Compressed,10,20,1536.772,255,255,255,164.335,0.715,391876.835,100,303450,1.734,0.577,0.89
Rep1,Pos025,Compressed,10,21,1911.279,255,255,255,199.254,0.605,487376.232,100,377400,2.542,0.393,0.884
Rep1,Pos025,Compressed,10,22,1611.673,255,255,255,153.361,0.861,410976.714,100,318240,1.063,0.941,0.937
Rep1,Pos025,Compressed,10,23,2411.053,255,255,255,248.637,0.49,614818.53,100,476085,2.953,0.339,0.817
Rep1,Pos025,Compressed,15,1,1301.736,255,255,255,209.838,0.372,331942.731,100,257040,4.481,0.223,0.688
Rep1,Pos025,Compressed,15,2,1046.038,255,255,255,123.653,0.86,266739.694,100,206550,1.467,0.682,0.941
Rep1,Pos025,Compressed,15,3,862.659,255,255,255,115.066,0.819,219977.921,100,170340,1.666,0.6,0.948
Rep1,Pos025,Compressed,15,4,799.38,255,255,255,114.676,0.764,203841.816,100,157845,1.854,0.539,0.908
Rep1,Pos025,Compressed,15,5,798.088,255,255,255,113.069,0.784,203512.508,100,157590,1.568,0.638,0.925
Rep1,Pos025,Compressed,15,6,759.346,255,255,255,108.523,0.81,193633.26,100,149940,1.653,0.605,0.929
Rep1,Pos025,Compressed,15,7,532.059,255,255,255,88.734,0.849,135675.005,100,105060,1.394,0.717,0.925
Rep1,Pos025,Compressed,15,8,701.233,255,255,255,114.562,0.671,178814.388,100,138465,1.711,0.585,0.879
Rep1,Pos025,Compressed,15,9,769.677,255,255,255,131.023,0.563,196267.726,100,151980,2.125,0.471,0.817
Rep1,Pos025,Compressed,15,10,1044.747,255,255,255,134.903,0.721,266410.386,100,206295,1.578,0.634,0.897
Rep1,Pos025,Compressed,15,11,1423.128,255,255,255,202.906,0.434,362897.708,100,281010,3.807,0.263,0.769
Rep1,Pos025,Compressed,15,12,1321.107,255,255,255,152.695,0.712,336882.355,100,260865,1.257,0.796,0.905
Rep1,Pos025,Compressed,15,13,733.518,255,255,255,124.043,0.599,187047.094,100,144840,2.411,0.415,0.831
Rep1,Pos025,Compressed,15,14,666.365,255,255,255,102.371,0.799,169923.065,100,131580,1.117,0.895,0.906
Rep1,Pos025,Compressed,15,15,1033.124,255,255,255,136.51,0.697,263446.612,100,204000,1.226,0.816,0.889
Rep1,Pos025,Compressed,15,16,1908.697,255,255,255,230.569,0.451,486717.615,100,376890,3.263,0.306,0.768
Rep1,Pos025,Compressed,15,17,1956.479,255,255,255,259.954,0.364,498902.021,100,386325,4.348,0.23,0.765
Rep1,Pos025,Compressed,15,18,1691.74,255,255,255,211.008,0.477,431393.827,100,334050,3.234,0.309,0.8
Rep1,Pos025,Compressed,15,19,1554.852,255,255,255,161.511,0.749,396487.151,100,307020,1.14,0.878,0.904
Rep1,Pos025,Compressed,20,1,1265.577,255,255,255,208.46,0.366,322722.1,100,249900,2.182,0.458,0.668
Rep1,Pos025,Compressed,20,2,1179.053,255,255,255,193.149,0.397,300658.446,100,232815,4.814,0.208,0.73
Rep1,Pos025,Compressed,20,3,1120.94,255,255,255,144.66,0.673,285839.574,100,221340,1.385,0.722,0.844
Rep1,Pos025,Compressed,20,4,1074.449,255,255,255,126.981,0.837,273984.476,100,212160,1.228,0.814,0.931
Rep1,Pos025,Compressed,20,5,840.705,255,255,255,117.225,0.769,214379.68,100,166005,1.468,0.681,0.906
Rep1,Pos025,Compressed,20,6,1326.273,255,255,255,212.064,0.371,338199.588,100,261885,3.628,0.276,0.715
Rep1,Pos025,Compressed,20,7,1142.893,255,255,255,166.332,0.519,291437.814,100,225675,2.355,0.425,0.841
Rep1,Pos025,Compressed,20,8,698.65,255,255,255,104.139,0.81,178155.771,100,137955,1.596,0.627,0.911
Rep1,Pos025,Compressed,20,9,747.723,255,255,255,111.623,0.754,190669.485,100,147645,1.435,0.697,0.892
Rep1,Pos025,Compressed,20,10,639.245,255,255,255,105.195,0.726,163007.591,100,126225,1.629,0.614,0.874
Rep1,Pos025,Compressed,20,11,772.26,255,255,255,114.01,0.747,196926.342,100,152490,1.823,0.548,0.932
Rep1,Pos025,Compressed,20,12,1137.728,255,255,255,168.605,0.503,290120.581,100,224655,1.962,0.51,0.754
Rep1,Pos025,Compressed,20,13,649.577,255,255,255,116.007,0.607,165642.057,100,128265,1.944,0.514,0.853
Rep1,Pos025,Compressed,20,14,1468.327,255,255,255,190.163,0.51,374423.497,100,289935,2.328,0.43,0.767
Rep1,Pos025,Compressed,20,15,594.046,255,255,255,93.555,0.853,151481.802,100,117300,1.245,0.803,0.913
Rep1,Pos025,Compressed,20,16,949.183,255,255,255,126.867,0.741,242041.575,100,187425,1.657,0.603,0.896
Rep1,Pos025,Compressed,20,17,958.222,255,255,255,147.484,0.554,244346.732,100,189210,1.853,0.54,0.796
Rep1,Pos025,Compressed,20,18,2176.017,255,255,255,242.875,0.464,554884.426,100,429675,1.993,0.502,0.809
Rep1,Pos025,Compressed,20,19,1742.105,255,255,255,222.809,0.441,444236.849,100,343995,3.543,0.282,0.833
Rep1,Pos025,Compressed,20,20,1725.317,255,255,255,215.325,0.468,439955.842,100,340680,3.151,0.317,0.774
Rep1,Pos025,Compressed,20,21,1299.153,255,255,255,156.965,0.663,331284.114,100,256530,1.946,0.514,0.86
Rep1,Pos025,Compressed,25,1,1004.713,255,255,255,151.868,0.547,256201.83,100,198390,2.354,0.425,0.818
Rep1,Pos025,Compressed,25,2,1180.344,255,255,255,179.189,0.462,300987.754,100,233070,2.539,0.394,0.718
Rep1,Pos025,Compressed,25,3,808.42,255,255,255,106.916,0.889,206146.974,100,159630,1.155,0.865,0.929
Rep1,Pos025,Compressed,25,4,718.021,255,255,255,106.365,0.798,183095.395,100,141780,1.863,0.537,0.942
Rep1,Pos025,Compressed,25,5,1002.13,255,255,255,131.413,0.729,255543.213,100,197880,1.888,0.53,0.909
